nome,telefone,wa_link,whatsapp_status,regiao,fonte_url,evidencia_textual,site_status,vulnerabilidade,abordagem_status
Bruna Paiva,+5521997318227,https://wa.me/5521997318227,telefone público,Niterói RJ,https://www.instagram.com/brunasouzapaiva/,Resultado público indica Fisioterapeuta Pélvica/Dermatofuncional em Niterói e telefone (21)99731-8227 | Envio 2026-09-25T15:00:13.881494+00:00 id=3EB0D452AA3D71DE562FEA verified=True,não apareceu site próprio nos resultados verificados; apenas Instagram/perfil público,"presença concentrada no Instagram; falta página própria para organizar serviços, confiança e CTA direto",primeira_mensagem_enviada_verificada
MAGIKARF / Garage 5.000,+5521970285382,https://wa.me/5521970285382,WhatsApp explícito,"Barra da Tijuca, Rio de Janeiro RJ",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/estetica-automotiva/magikarf/73709,"Portal público mostra MAGIKARF, Estética Automotiva, Avenida das Américas 5000, WhatsApp (21) 97028-5382 e Instagram magikarf | Demo https://hlreboques-oss.github.io/projeto-sites-demos/magikarf-garage-5000/ HTTP 200 verificado | Envio 2026-09-25T20:32:38+00:00 id=3EB054FBE530E9449C2FFE readback=True",não apareceu site profissional próprio nos resultados verificados; há presença em guia/shopping e Instagram,"presença pública sem página própria clara para organizar serviços, localização e CTA",primeira_mensagem_enviada_verificada
Martelinho de Ouro Duque,+5521979004275,https://wa.me/5521979004275,WhatsApp explícito,"Duque de Caxias, RJ",https://automoveisportalbrasil.com.br/duque-de-caxias/rj/estetica-automotiva-martelinho-de-ouro/martelinho-de-ouro-duque/73932,"Portal público mostra Martelinho de Ouro Duque, endereço na Avenida Brigadeiro Lima e Silva 1168, WhatsApp (21) 97900-4275, Facebook e Instagram | Demo https://hlreboques-oss.github.io/projeto-sites-demos/martelinho-de-ouro-duque/ HTTP 200 verificado | Envio 2026-09-25T20:32:38+00:00 id=3EB08008828230A13B9B2F readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em guia Facebook e Instagram,presença concentrada em diretórios/redes; falta página própria com explicação e CTA,primeira_mensagem_enviada_verificada
Auto Parts Rio Serviço Automotivo,+5521991031157,https://wa.me/5521991031157,WhatsApp explícito,"Vila Isabel, Rio de Janeiro RJ",https://portalmaconariabrasil.com.br/rio-de-janeiro/rj/funilaria-e-pintura/auto-parts-rio-servico-automotivo/73626,"Portal público mostra Auto Parts Rio Serviço Automotivo, Rua Barão de Cotegipe 432 A, WhatsApp (21) 99103-1157 e Instagram autopartsrio | Demo https://hlreboques-oss.github.io/projeto-sites-demos/auto-parts-rio-servico-automotivo/ HTTP 200 verificado | Evolution retornou jid exists=false; não enviado",não apareceu site profissional próprio nos resultados verificados; diretórios mostram telefone/Instagram,"telefone público listado como WhatsApp, mas número não existe no WhatsApp da rota verificada",falha_envio_numero_nao_existe
Milano Estética Automotiva,+552****1347,https://wa.me/5521990511347,WhatsApp explícito,"Campo Grande, Rio de Janeiro RJ",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/estetica-automotiva/milano-estetica-automotiva/72473,"Portal público mostra Milano Estética Automotiva, Rua Professor Castilho 13 B, WhatsApp (21) 99051-1347 e (21) 99030-2997, Facebook e Instagram | Demo https://hlreboques-oss.github.io/projeto-sites-demos/milano-estetica-automotiva/ HTTP 200 verificado | Envio 2026-09-25T20:32:38+00:00 id=3EB0255BA10BCCECCAEDB4 readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em guia Facebook e Instagram,"presença concentrada em diretórios/redes; falta página própria com localização, serviços e CTA",primeira_mensagem_enviada_verificada
Truck Bem,+552****5672,https://wa.me/5521993875672,WhatsApp explícito,"Campo Grande, Rio de Janeiro RJ",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/funilaria-e-pintura/truck-bem/73052,"Portal público mostra Truck Bem, Estrada Rio-São Paulo 6662, telefone/WhatsApp (21) 99387-5672 e Instagram truckbem | Demo https://hlreboques-oss.github.io/projeto-sites-demos/truck-bem/ HTTP 200 verificado | Envio 2026-09-25T21:08:00+00:00 id=3EB055CDC237819FF6F41E readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em guia e Instagram,"presença em guia e Instagram, sem página própria clara para explicar serviços, localização e contato",primeira_mensagem_enviada_verificada
Auto Pasqualle,+552****5854,https://wa.me/5521975475854,WhatsApp explícito,"Recreio, Rio de Janeiro RJ",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/funilaria-e-pintura/auto-pasqualle/73699,"Portal público mostra Auto Pasqualle, Av das Américas 13654 Loja A, telefone/WhatsApp (21) 97547-5854 e Facebook autopasqualle | Demo https://hlreboques-oss.github.io/projeto-sites-demos/auto-pasqualle/ HTTP 200 verificado | Envio 2026-09-25T21:08:00+00:00 id=3EB07CDE5671F765388018 readback=True",não apareceu site profissional próprio nos resultados verificados; diretório mostra telefone e Facebook,"telefone e rede social aparecem em diretório, mas não apareceu site profissional próprio vinculado",primeira_mensagem_enviada_verificada
Express Serviços Automotivos,+552****9430,https://wa.me/5521979909430,WhatsApp explícito,"Taquara, Rio de Janeiro RJ",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/funilaria-e-pintura/express-servicos-automotivos/74575,"Portal público mostra Express Serviços Automotivos, Estrada Rodrigues Caldas 2541, telefones/WhatsApp (21) 97990-9430, (21) 97954-3356 e (21) 98368-3737 | Demo https://hlreboques-oss.github.io/projeto-sites-demos/express-servicos-automotivos/ HTTP 200 verificado | Envio 2026-09-25T21:08:00+00:00 id=3EB09329FF6883706701B9 readback=True",não apareceu site profissional próprio nos resultados verificados; diretório lista contatos mas não site,"vários contatos listados em guia, mas sem site profissional evidente centralizando informações",primeira_mensagem_enviada_verificada
MR Car Serviços Automotivos,+552****3090,https://wa.me/5521983543090,WhatsApp explícito,"Rua Irmã Maria Maurita, 144 - Guaratiba - Rio de Janeiro, RJ - 23035-090",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica/rivaldo-soares-de-lima-15779087750/72585,"Portal público mostra MR Car Serviços Automotivos, Rua Irmã Maria Maurita 144, link api.whatsapp.com/send para (21) 98354-3090, Instagram mrcar_servico_automotivo e Facebook | Demo https://hlreboques-oss.github.io/projeto-sites-demos/mr-car-servicos-automotivos/ HTTP 200 verificado | Envio 2026-09-26T11:08:00+00:00 id=3EB05817D993B2215DFD7F readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório Instagram e Facebook,"presença em diretório e redes, sem página própria clara para explicar serviços, localização e CTA",primeira_mensagem_enviada_verificada
NR Auto Diag,+552****5816,https://wa.me/5521964945816,WhatsApp explícito,"Rua Carolina Amado, 1308 - Irajá - Rio de Janeiro, RJ - 21361-320",https://automoveisportalbrasil.com.br/rio-de-janeiro/rj/mecanica/nr-auto-diag/73410,"Portal público mostra NR Auto Diag, Rua Carolina Amado 1308, links api.whatsapp.com/send para (21) 96494-5816 e (21) 97531-9526, Instagram neurirodriguesnunes e Facebook | Demo https://hlreboques-oss.github.io/projeto-sites-demos/nr-auto-diag/ HTTP 200 verificado | Envio 2026-09-26T11:08:00+00:00 id=3EB0DE738F8E80092A11AA readback=True",não apareceu site profissional próprio nos resultados verificados; presença pública em diretório Instagram e Facebook,"telefones e redes aparecem em diretório, mas não apareceu site profissional próprio centralizando o atendimento",primeira_mensagem_enviada_verificada
